Instance,Category,Optimal,SA_Value,Gap(%),Runtime(s),Iterations,UniverseSize,SubsetCount
test1,small,2,1,-50.00,0.00,1,3,3
test2,small,2,2,0.00,0.00,1,5,7
test3,small,6,4,-33.33,0.00,2,10,10
test4,small,4,4,0.00,0.00,2,10,5
test5,small,4,4,0.00,0.00,1,7,10
small1,small,5,5,0.00,0.00,1,20,20
small10,small,2,3,50.00,0.00,1,7,15
small11,small,4,5,25.00,0.00,1,20,20
small12,small,3,3,0.00,0.00,1,10,20
small13,small,2,2,0.00,0.00,1,10,10
small14,small,2,2,0.00,0.00,1,5,10
small15,small,2,2,0.00,0.00,1,15,15
small16,small,2,2,0.00,0.00,1,7,15
small17,small,2,3,50.00,0.00,1,20,20
small18,small,2,2,0.00,0.00,1,10,20
small2,small,3,3,0.00,0.00,1,5,10
small3,small,5,5,0.00,0.00,1,15,15
small4,small,4,4,0.00,0.00,1,7,15
small5,small,5,5,0.00,0.00,1,20,20
small6,small,3,3,0.00,0.00,1,10,20
small7,small,3,4,33.33,0.00,1,10,10
small8,small,2,2,0.00,0.00,1,5,10
small9,small,3,3,0.00,0.00,1,15,15
large1,large,50,50,0.00,1.96,41,2000,2000
large10,large,221,320,44.80,5.01,3,1547,2000
large11,large,40,55,37.50,0.31,1,400,2000
large12,large,15,22,46.67,0.04,5,100,500
large2,large,19,26,36.84,0.04,1,100,200
large3,large,15,21,40.00,0.05,4,100,1000
large4,large,91,149,63.74,2.80,1,1183,1183
large5,large,6,8,33.33,0.05,1,100,500
large6,large,6,8,33.33,0.06,1,100,1000
large7,large,95,169,77.89,5.01,1,1805,1805
large8,large,5,6,20.00,0.02,1,50,500
large9,large,14,21,50.00,0.05,3,100,1000
