instance,algorithm,cost,time
large1,BnB,141,1284.21
large10,BnB,486,1322.09
large11,BnB,54,1042.53
large12,BnB,17,0.48
large2,BnB,21,0.14
large3,BnB,16,3.30
large4,BnB,196,1304.27
large5,BnB,7,0.26
large6,BnB,6,1.90
large7,BnB,260,1328.70
large8,BnB,5,9.08
large9,BnB,16,1.41
small1,BnB,5,0.00
small10,BnB,2,0.00
small11,BnB,4,0.00
small12,BnB,4,0.00
small13,BnB,2,0.00
small14,BnB,2,0.00
small15,BnB,3,0.00
small16,BnB,3,0.00
small17,BnB,3,0.00
small18,BnB,2,0.00
small2,BnB,3,0.00
small3,BnB,5,0.00
small4,BnB,4,0.00
small5,BnB,6,0.00
small6,BnB,3,0.00
small7,BnB,3,0.00
small8,BnB,2,0.00
small9,BnB,3,0.00
test1,BnB,2,0.00
test2,BnB,2,0.00
test3,BnB,6,0.00
test4,BnB,4,0.00
test5,BnB,4,0.00
